dfasdf  7_2009
2003	1871
9383	3066
2474	990
2798	3261
9308	4897
8170	6062
1244	982
3253	7640
2970	7206
8917	7535
9948	957
879	5807
791	5302
7304	4848
4271	1184
5003	1070
502	8716
8345	2362
3525	132
9447	2189
961	3456
3658	7784
2724	3900
9897	3060
269	636
9248	3554
3756	7157
5499	6720
3875	9626
3350	4265
9983	6742
6628	4208
2213	5463
9093	3689
5939	8569
2802	4629
4986	3317
2864	3609
8874	7610
7297	9509
5006	4019
2899	35
2644	981
6328	1075
2269	9933
2058	6843
4683	18
2110	8128
2613	6070
1276	9574
8889	5548
3558	5190
974	2636
8538	8975
6269	4366
6360	9366
9231	7758
5084	377
4791	1206
1193	6327
3015	4295
7889	504
2841	3474
61	1364
5104	3271
2425	2466
5985	9290
8649	9253
7590	8085
3915	1739
8195	9862
5552	8191
1264	9046
6861	8582
3909	7799
6959	196
4199	238
5423	1851
8621	9230
8048	335
337	4907
2591	2516
5052	5236
6937	5203
1730	1089
6406	8499
8349	4479
6200	6146
7070	6804
1197	2330
8630	5641
5421	6037
6653	8091
7919	9822
8971	8486
6202	2411
6256	4501
7294	1220
2760	1855
8895	388
788	8656
3654	6348
8332	6898
8083	3176
8764	3196
5909	3606
7378	8587
2950	963
1405	4015
1407	4373
5546	291
5578	7255
4199	641
6373	9020
6569	2807
5079	2467
134	5278
2163	2669
6350	4633
6723	9030
8464	2445
8574	5436
3325	6358
1101	5241
4962	5853
9678	2866
2139	3455
9961	2525
8821	8361
6263	9172
9745	8650
7347	3004
8129	9291
1428	7319
5162	8517
6029	2151
1519	7294
8137	9752
5494	6046
3546	913
4780	3106
9760	2085
306	3759
9908	5155
5502	8209
7664	8468
5637	7709
8794	5680
3248	3979
574	8699
6115	743
8055	3969
2618	3024
4830	1354
278	1324
4683	4104
2285	7592
3977	575
7517	5557
3955	8906
4567	2703
1454	6087
31	9936
5915	1686
5001	3430
5207	4986
1293	450
8455	7406
8746	6173
8485	2458
9256	1051
9688	2866
6367	1626
4613	3998
3980	9064
7156	585
8947	2255
7445	4733
3279	3730
1195	4224
8196	8085
6358	7299
7489	5060
3256	3127
4515	8234
2148	7110
4823	7269
5653	5532
1342	5163
8854	1092
4067	5079
7411	6587
8236	6232
5800	1518
360	4765
7074	8679
1907	4935
9804	4023
7721	6994
7745	7095
6712	1391
2608	7928
140	4965
3503	9095
5559	4475
5170	4521
8877	5251
8826	7913
365	7302
9196	3389
5366	4394
8000	4242
8566	7940
2648	1283
7912	3794
2230	6315
3729	8054
5217	865
4922	856
2155	6615
5036	9162
88	6040
5634	900
1678	3362
9355	2492
4351	1004
7980	6089
8793	6141
1849	5841
5424	8169
5550	461
3503	1536
9814	6098
432	1531
5334	4110
9314	7275
1737	8433
4521	6321
5805	1644
6897	1712
2543	7771
5472	374
6986	2897
4896	4593
6201	9705
9221	5565
1222	8190
7675	912
6174	1671
6024	4269
4881	6769
9725	3285
4883	4910
8925	7048
8694	137
1468	7374
4258	2786
878	3155
1818	4075
9676	9112
